Season,Champions (number of titles),Runners-up,Third place,Winning manager
1888–89,Preston North End[a][b] (1),Aston Villa,Wolverhampton Wanderers,William Sudell (secretary manager)
1889–90,Preston North End (2),Everton,Blackburn Rovers,William Sudell (secretary manager)
1890–91,Everton (1),Preston North End,Notts County,Dick Molyneux (secretary manager)
1891–92,Sunderland (1),Preston North End,Bolton Wanderers,Tom Watson
1892–93,Sunderland (2),Preston North End,Everton,Tom Watson
1893–94,Aston Villa (1),Sunderland,Derby County,George Ramsay
1894–95,Sunderland (3),Everton,Aston Villa,Tom Watson
1895–96,Aston Villa (2),Derby County,Everton,George Ramsay
1896–97,Aston Villa[b] (3),Sheffield United,Derby County,George Ramsay
1897–98,Sheffield United (1),Sunderland,Wolverhampton Wanderers,Joseph Wostinholm
1898–99,Aston Villa (4),Liverpool,Burnley,George Ramsay
1899–1900,Aston Villa (5),Sheffield United,Sunderland,George Ramsay
1900–01,Liverpool (1),Sunderland,Notts County,Tom Watson
1901–02,Sunderland (4),Everton,Newcastle United,Alex Mackie
1902–03,The Wednesday[c] (1),Aston Villa,Sunderland,Arthur Dickinson
1903–04,The Wednesday[c] (2),Manchester City,Everton,Arthur Dickinson
1904–05,Newcastle United (1),Everton,Manchester City,Frank Watt (secretary manager)
1905–06,Liverpool (2),Preston North End,The Wednesday,Tom Watson
1906–07,Newcastle United (2),Bristol City,Everton,Frank Watt (secretary manager)
1907–08,Manchester United (1),Aston Villa,Manchester City,Ernest Mangnall
1908–09,Newcastle United (3),Everton,Sunderland,Frank Watt (secretary manager)
1909–10,Aston Villa (6),Liverpool,Blackburn Rovers,George Ramsay
1910–11,Manchester United (2),Aston Villa,Sunderland,Ernest Mangnall
1911–12,Blackburn Rovers (1),Everton,Newcastle United,Robert Middleton
1912–13,Sunderland (5),Aston Villa,The Wednesday,Bob Kyle
1913–14,Blackburn Rovers (2),Aston Villa,Middlesbrough,Robert Middleton
1914–15,Everton (2),Oldham Athletic,Blackburn Rovers,Will Cuff (secretary manager)
1919–20,West Bromwich Albion (1),Burnley,Chelsea,Fred Everiss
1920–21,Burnley (1),Manchester City,Bolton Wanderers,John Haworth
1921–22,Liverpool (3),Tottenham Hotspur,Burnley,David Ashworth
1922–23,Liverpool (4),Sunderland,Huddersfield Town,Matt McQueen
1923–24,Huddersfield Town (1),Cardiff City,Sunderland,Herbert Chapman
1924–25,Huddersfield Town (2),West Bromwich Albion,Bolton Wanderers,Herbert Chapman
1925–26,Huddersfield Town (3),Arsenal,Sunderland,Cecil Potter
1926–27,Newcastle United (4),Huddersfield Town,Sunderland,Frank Watt (secretary manager)
1927–28,Everton (3),Huddersfield Town,Leicester City,Thomas McIntosh (secretary manager)
1928–29,The Wednesday[c] (3),Leicester City,Aston Villa,Robert Brown
1929–30,Sheffield Wednesday (4),Derby County,Manchester City,Robert Brown
